term	family	layer	function	attested	gloss	source	same_object_as
Attacca	Western pop	boundary	—	no	begin the next movement immediately	"Grove (""attacca"")"	same object as segue. Two Italian words for one boundary value.
Caesura	Western pop	boundary	—	"stager:5 (Welsh prosody notes: ""caesura: NOT PRINTED"")"	a cut in the flow; in prosody a fixed word-break inside a line	Grove; standard prosody	"THE REPO ALREADY HAS THE PROSODIC SENSE AND ALREADY REFUSES IT WITH A REASON: cym_song_mynyddog.txt records ""caesura: NOT PRINTED. 54 lines of 2,758 (2.0%) carry [a mark]"" and the cywydd file adds ""th"
Cut	Western pop	boundary	—	lexical:146	an abrupt unprepared join with no transition	standard studio/film usage	"boundary-kind, value ""abrupt"". The null value of the boundary coordinate: what happens when nothing is done at the join."
Dovetail	Western pop	boundary	—	no	the same join, described from the carpentry side	UNCITED as a music-form term	same object as overlap. A synonym, and a metaphor.
Elision	Western pop	boundary	—	stager:16 (all of them are Scots/Finnish APOSTROPHE notes — a different elision entirely)	the last bar of one section IS the first bar of the next; one bar does two jobs	Rothstein, Phrase Rhythm in Tonal Music	no repo row for the FORM sense. THE ATTESTATION IS A HOMONYM TRAP: all 16 hits are quality/-authored notes about the elision apostrophe in Burns and Kivi, i.e. orthography. Two unrelated technical sen
General pause	Western pop	boundary	—	no	every part rests together	"Grove (""Generalpause"", G.P.)"	same object as grand pause. Two names, one boundary.
Grand pause	Western pop	boundary	—	no	the same, in Anglophone usage	Grove	literally the same term. Two rows here would be a spelling table pretending to be a vocabulary — the thing _FUNCTION_SPELLINGS exists to prevent.
Hard stop	Western pop	boundary	—	no	everything ceases together at the end	standard studio usage	same object as stop (§3) at the rear position. One boundary-kind, two positions.
Overlap	Western pop	boundary	—	stager:8 (all are ITEM_OVERLAP_FLOOR provenance boilerplate)	two sections share bar-time at the join	Rothstein	"THE REPO HAS THE PRIMITIVE AND SCOPES IT OUT. fit.overlap_findings measures lines sharing bar-time, and its docstring states: ""Lines are compared WITHIN a section and never across one"" — because offse"
Segue	Western pop	boundary	—	no	proceed to the next without pause	"Grove (""segue"")"	"boundary-kind, value ""no gap"". A performance instruction, printed in the score, about the join."
Stop	Western pop	boundary	—	lexical:63	everything ceases at a boundary	standard usage	boundary-kind. In the rear-framing sense it is hard stop (§4) — same word, two positions, and position is the coordinate.
Tag-in	Western pop	boundary	—	no	a repeated fragment used to re-enter a section	standard gospel/studio usage; UNCITED academically	"SECTION_FUNCTIONS[""tag""] + a position coordinate. The repo's tag gloss is position-neutral — ""closing a section or the song"" — so a tag-in is a tag at the other end."
Dominant pedal	Western pop	device	—	no	a held dominant bass under changing upper parts	"Grove (""pedal point"")"	same — a HARMONY fact
Expressive modulation	Western pop	device	—	no	a key change motivated by text or affect rather than by form	UNCITED	no repo row. Harmonic + affective — two coordinates the repo does not carry, in one term.
Pivot	Western pop	device	—	"lexical:3 (""pivot-gun"", ""the Yankee pivot"")"	the shared element (chord, note, motive) on which a change turns	"Grove (""pivot chord"")"	not a span — a single shared object. Layer device by elimination; harmonic in fact.
Standing on the dominant	Western pop	device	—	no	an extended dominant prolongation preparing a return	Caplin, Classical Form	UNREPRESENTABLE IN PRINCIPLE HERE — see below
Sting	Western pop	device	—	lexical:34 (bees)	short punctuating figure	broadcast/library-music usage; UNCITED academically	no repo row. Not a span.
Tierce de Picardie close	Western pop	device	—	no	a minor-mode piece ends on a major tonic chord	"Grove (""Tierce de Picardie"")"	"no repo row, no repo layer. Purely harmonic, not a span. device by elimination, the same least-wrong filing Wave A gave ""dominant pedal""."
Truck driver's gear change	Western pop	device	—	no	an unprepared upward modulation, usually by a semitone or tone, late in a pop song	"the academic name is ""pump-up modulation"" (Everett; and a dedicated Music Analysis literature); the phrase itself is fan coinage — UNCITED academically"	no repo row. A harmonic event at a section boundary, not a section.
A-section	Western pop	form	—	no	the A of AABA	Covach; Everett; Summach	"a LETTER IN A FORM STRING, not a section name. = verse when the form is AABA. Its complement, B, the repo already covers: bridge's aliases include ""middle-eight"", ""departure-section""."
Bridge-as-climax	Western pop	form	—	no	the bridge is the song's peak rather than its detour; the terminal-climax shape	"Osborn, Everything in Its Right Place (""terminal climax""); Summach"	a claim about WHERE the peak sits across sections — a form-layer fact. Encoding it as a section type would make two bridges out of one.
Chorus-first intro	Western pop	form	—	no	the song opens on the chorus	Summach; Covach	an ORDER fact over sections, not a section. = chorus at index 1. Encoding as a type would duplicate chorus.
Cold open	Western pop	form	—	no	the song begins on verse or chorus with NO intro. This is the ABSENCE of a section, not a section	standard studio usage	the null case of intro. A form-layer fact; encoding it as a section would create a span with zero bars.
Double verse	Western pop	form	—	lexical:1	two verse instances back-to-back before the chorus	UNCITED	COORDINATE at the FORM layer — an instance COUNT. MarkedSong.instances() already declares [VERSE 1]/[VERSE 2] as two instances of one function.
Elided prechorus	Western pop	form	—	no	the prechorus omitted on a later rotation	Summach	COORDINATE (see §3): a form-layer absence, not a section type
Fake-out section	Western pop	form	—	no	a span that appears to be one function and turns out to be another	UNCITED	"closest repo row is SECTION_FUNCTIONS[""false_ending""] (""a close the song comes back from""), which is the rear-framing case of exactly this. Generalising it is a form fact, not a section."
Hook-first intro	Western pop	form	—	no	the song opens on the hook	Summach	same object as chorus-first; hook vs chorus is the material
Trading eights	Western pop	form	—	no	the same, in eight-bar units	Grove Jazz	same object as trading fours; the numeral is the unit length, already a coordinate.
Trading fours	Western pop	form	—	no	soloists alternate four-bar units	Grove Jazz	"NOT a section. It is a partition of ONE instrumental span into alternating four-bar units by PLAYER. The repo's nearest coordinate is Meter/bar arithmetic plus something like MARK_REFUSED[""PART""] (a r"
Trading twos	Western pop	form	—	no	the same, in two-bar units	Grove Jazz	same object. Three terms, one form fact, one integer.
&nbsp;&nbsp;Riser (a)	Western pop	perform	—	no	an ascending filtered noise/pitch sweep laid over the bars before an arrival. A SOUND, NOT A SPAN — a lyric sheet cannot carry it	standard studio usage	no repo row; nearest is build, but that is the SPAN the riser sits on
Applause tail	Western pop	perform	—	"lexical:27 (all sung/prose uses of ""applause"")"	audience sound retained after the final note	standard studio usage	PERMANENTLY REFUSABLE. It is not even the performers' sound.
Count-in	Western pop	perform	—	no	"audible ""1-2-3-4"" before the first bar"	standard studio usage	no repo row. Metrically it is an anacrusis for the whole song.
Crossfade	Western pop	perform	—	no	one span fades out while the next fades in, mixed	standard studio usage	PERMANENTLY REFUSABLE. It is a mix automation curve. It is also the only boundary in this list that cannot exist in live performance.
Diegetic intro	Western pop	perform	—	no	opening sound situated inside the song's story-world (radio, crowd, room)	film-music usage (diegesis); UNCITED for song form	no repo row. A recording fact.
Downbeat hit	Western pop	perform	—	"no (word-bounded 0 for ""downbeat"")"	an accent placed exactly on the arriving downbeat	standard studio usage	PERMANENTLY REFUSABLE. And note downbeat is 0 word-bounded across the whole corpus, while grid.py uses next_downbeat as a coordinate — the concept is in the code and absent from the sources.
Fade	Western pop	perform	—	"lexical:96 (""thy eternal summer shall not fade"")"	the level is reduced to silence	Everett; standard studio usage	PERMANENTLY REFUSABLE. A gain automation curve. Also: a fade is the one ending that cannot be performed live, which is the cleanest possible demonstration of the perform layer.
Fade-out	Western pop	perform	—	no (0 as a compound)	the same, named as an ending type	Everett	PERMANENTLY REFUSABLE. Same object as fade.
Fake fade	Western pop	perform	—	no	the level fades toward silence and comes back up	standard studio usage	PERMANENTLY REFUSABLE at the sound layer — but the SHAPE is false_ending, which the repo has. This is the model case for the whole batch: the structural claim is representable, the artifact is not.
False start	Western pop	perform	—	no	an aborted take retained on the record	standard studio usage	"NOT false_ending. Repo's false_ending is ""a close the song comes back from"" — rear, not front. Near-collision worth naming."
Field-recording intro	Western pop	perform	—	no	opening span is captured environmental audio	standard studio usage	no repo row
Hidden track lead-out	Western pop	perform	—	"lexical:1 (Barnes, ""her hidden track"" in snow)"	the silence between a last track and an unlisted one	standard studio usage	PERMANENTLY REFUSABLE. Also an ALBUM-scale object, outside any song's section grid.
Impact	Western pop	perform	—	no	a loud one-shot marking an arrival	standard studio usage	PERMANENTLY REFUSABLE. A single sound, not a span, not a text.
Locked groove	Western pop	perform	—	no	a closed vinyl groove that repeats forever	standard studio/vinyl usage	PERMANENTLY REFUSABLE, and it is a property of a physical disc. The one term in the batch that is not even a property of the recording, only of the pressing.
Needle-drop open	Western pop	perform	—	no	record opens with groove/stylus noise	UNCITED	"no repo row. NOTE: ""needle-drop"" in film means a licensed pre-existing track — the same word doing two jobs, like riser below."
Pump	Western pop	perform	—	lexical:7 (a water pump)	sidechain-compression breathing, heard as rhythmic swelling	standard studio usage	"PERMANENTLY REFUSABLE. A compressor's release envelope is exactly the class fit.py refuses as ""anything per SECOND""."
Reverb tail	Western pop	perform	—	no	the decay of the space after the last note	standard studio usage	PERMANENTLY REFUSABLE, and it is a duration in seconds — fit.py's named-and-permanent class exactly.
Riser	Western pop	perform	—	"lexical:1 (Whitman, ""an early riser"")"	a rising synthetic sweep placed before an arrival	standard studio usage	"PERMANENTLY REFUSABLE. Also flagged in Wave A. The section it points at is SECTION_FUNCTIONS[""build""] → drop; the riser itself is a sound."
Ritardando link	Western pop	perform	—	no	a slowing used to join two spans	"Grove (""Ritardando"")"	PERMANENTLY REFUSABLE, same reason. The LINK is turnaround; the ritardando is not representable.
Room-tone tail	Western pop	perform	—	no	the silence of the room, retained after the ending	standard studio usage	PERMANENTLY REFUSABLE. A span of a recording that contains, by definition, nothing.
Rubato bar	Western pop	perform	—	no	a bar taken out of strict time	"Grove (""Rubato"")"	"PERMANENTLY REFUSABLE. fit.py UNANSWERABLE: ""anything per second... no tempo"". Rubato is by definition a deviation from a tempo that does not exist here."
Run-out groove	Western pop	perform	—	no	the lead-out spiral at the end of a vinyl side	standard vinyl usage	PERMANENTLY REFUSABLE, same object class as locked groove.
Studio chatter	Western pop	perform	—	no	retained talkback/room speech before the take	standard studio usage	no repo row
Sweep	Western pop	perform	—	"lexical:109 (""wide sweep"")"	a filter or noise sweep across a boundary	standard studio usage	PERMANENTLY REFUSABLE. Same object as riser at a different frequency.
Anacrusis	Western pop	phrase	—	no	upbeat syllables before the first downbeat	"Grove (""anacrusis"")"	THE REPO ALREADY HAS THIS, AND ALREADY DECLARES IT UNRESOLVABLE. grid.HookOccurrence's docstring names anacrusis by word and states the harness cannot decide it without a setting (quality/fit.py's NO_
Couplet	Western pop	phrase	—	lexical:34	two lines, usually rhymed	Grove; standard poetics	"THE REPO ALREADY USES THIS AS A PHRASE-LEVEL UNIT IN TWO GLOSSES: refrain — ""a returning line or couplet inside or after a stanza""; MARK_REFUSED[""BAYT""] — ""a bayt is the couplet-unit of a ghazal""."
Fill	Western pop	phrase	—	"lexical:800 (mostly ""fill'd"")"	a short improvised figure covering a join, usually one to two beats	Grove Jazz; standard usage	no repo row and it is BELOW section scale. A fill is phrase-layer at most; often it is one drummer's bar. The 800 hits are Shakespeare and Whitman.
Phrase-level refrain	Western pop	phrase	—	no	a returning line inside a stanza	Grove	= the repo's refrain exactly. Its gloss is written for this case.
Pickup	Western pop	phrase	—	no (0 word-bounded)	US synonym for anacrusis	standard usage	identical object to Anacrusis. One row, two names.
Quatrain	Western pop	phrase	—	mark:41 (msa)	four lines	Grove; standard poetics	"THE REPO ALREADY HAS IT, AS A DECIDED REFUSAL WITH A WRITTEN REASON: MARK_REFUSED[""QUATRAIN""] = ""a printing/metrical unit, and the mark carries its rhyme scheme rather than a function."" That decision "
Toast	Western pop	process	—	lexical:25 (drinking sense)	the Afro-American narrative-boast performance genre; also a drinking-song opening	Abrahams, Deep Down in the Jungle	Layer unclear — a whole GENRE, not a section. Only its opening span is front_framing.
&nbsp;&nbsp;Riser (b)	Western pop	section	medial	no	loose synonym for prechorus/build in informal usage	UNCITED	prechorus / build
A cappella chorus	Western pop	section	goal	no	chorus sung unaccompanied	Grove	chorus; the texture is layer=perform
A cappella intro	Western pop	section	front_framing	no	intro sung unaccompanied	"Grove (""a cappella"")"	"intro; the ""a cappella"" half is layer=perform (an arrangement fact a lyric sheet cannot carry)"
Ambient intro	Western pop	section	front_framing	no	intro of sustained non-metric texture	UNCITED	intro; texture is layer=perform
Amen	Western pop	section	rear_framing	"lexical:26 (sung text: ""Amen, Amen!""; hymnals, Welsh, Burns) — 0 as a structural label"	"the plagal cadence appended to a hymn, sung on the word ""Amen"""	"Grove (""Amen cadence""); standard hymnody"	"no repo row. And the attestation is the interesting part: the corpus contains a large hymn body (eng_hymn_watts, eng_hymn_cowper) and prints ""Amen"" 26 times as SUNG TEXT and never once as a label. In "
Approach	Western pop	section	medial	lexical:45	prechorus, informal	UNCITED	prechorus
B-section	Western pop	section	contrasting	no	the second, contrasting section of AABA	Covach; Forte	"bridge NAME in AABA dialect. The letter is a FORM coordinate, not a function — see the form rows in Wave A §""A-section""."
Bass drop-out	Western pop	section	instrumental	no	the bass rests for a span	standard studio usage	perform, not section. What is removed from an arrangement is not a span of a lyric sheet.
Beat switch	Western pop	section	contrasting	no	the underlying beat changes mid-track, usually once	standard hip-hop usage; UNCITED academically	no repo row, and it may not need one: a beat change is an ARRANGEMENT fact. What a lyric sheet can see is a new section; the switch itself is perform. Layer unclear — see (b).
Break	Western pop	section	instrumental	"lexical:252 (""break of day"", ""break-down"")"	the accompaniment drops out for one to four bars, usually for a soloist	Grove Jazz	"no repo row, and it is NOT SECTION_FUNCTIONS[""breakdown""] (which ""strips the arrangement back"" over a span). A break is a hole. Candidate NAME; function instrumental, though connective is arguable."
Breakdown	Western pop	section	contrasting	no	strips the arrangement back	Osborn (EDM/post-rock); standard usage	"SECTION_FUNCTIONS[""breakdown""] — VERBATIM. Repo gloss ""strips the arrangement back"" is exactly right. Unwitnessed."
Bridge	Western pop	section	contrasting	lexical:41 (Brooklyn Bridge, etc.)	appears once and contrasts with verse and chorus	Everett; Covach; Summach	"SECTION_FUNCTIONS[""bridge""] — VERBATIM, and the repo has the whole machine: bridge_contrast(), contrast_channels (7), single_use, contrasts_with=(""verse"",""chorus""). Nothing to add. SEE Q3: the repo ho"
Bridge-passage	Western pop	section	connective	no	a passage linking two thematic areas	"Grove (""bridge passage"")"	"turnaround. AND THIS IS THE THIRD SENSE OF ""BRIDGE"" — see Q3."
Build	Western pop	section	medial	lexical:64	raises tension toward a return	Peres; Adams; standard studio usage	"SECTION_FUNCTIONS[""build""] — VERBATIM. Repo has it."
Buildup intro	Western pop	section	front_framing	no	an intro that rises in intensity into the first section	standard studio usage	"intro + SECTION_FUNCTIONS[""build""] (""raises tension toward a return""). Both rows exist."
Burden	Western pop	section	goal	mark:1,580 (eng)	a refrain sung by all, often printed before the first stanza	"Grove (""burden""); Chappell"	"SECTION_FUNCTIONS[""burden""] — VERBATIM, and MARK_FUNCTION[""BURDEN""] + [""BURDEN-TAIL""]. Witnessed. Stop."
Button	Western pop	section	rear_framing	"lexical:13 (""daisies button into buds"")"	a short decisive final gesture, usually one or two chords	standard theatre/showbiz usage; UNCITED academically	closest repo row is tag; more honestly it is a phrase-scale gesture, not a section.
C-section	Western pop	section	contrasting	no	a third distinct section in compound forms	Covach	bridge when it contrasts; otherwise a distinct section with its own function. A letter cannot carry a function — that is the whole reason SECTION_FUNCTIONS exists.
Cadenza	Western pop	section	instrumental	no	an unmeasured virtuoso span, conventionally at a cadence	"Grove (""Cadenza"")"	"no repo row — a candidate, and a hard one: its defining property is the SUSPENSION OF METRE. Section is measured in BARS and has no ""unmeasured"" value. Filing a cadenza as a section with a bar count w"
Call verse	Western pop	section	initiating	no	the leader's half of call-and-response	"Grove (""call and response""); Lomax"	verse + a SOCIAL/voicing coordinate (who sings it)
Channel	Western pop	section	contrasting	lexical:26	NOT A PRECHORUS. The B section of AABA, in Brill Building / 1960s American usage	Everett; Covach	"SECTION_FUNCTIONS[""bridge""] — whose aliases already include ""middle-eight"" and ""departure-section"". channel belongs on that alias tuple, not in the prechorus family."
Chase chorus	Western pop	section	instrumental	no	two soloists alternate within one chorus	Grove Jazz	same object as trading fours at chorus scale. instrumental + a PART partition.
Chorus	Western pop	section	goal	mark:269 (eng)	the returning section; the one place REPEAT is the requirement	Grove; Covach; Everett	"SECTION_FUNCTIONS[""chorus""] — VERBATIM, and MARK_FUNCTION[""CHORUS""]. Witnessed. Stop."
Climb	Western pop	section	medial	lexical:69	prechorus, studio synonym	standard studio usage	prechorus
Coda	Western pop	section	rear_framing	no (0 word-bounded in corpus/)	a closing section with its own material	"Grove (""Coda"")"	"SECTION_FUNCTIONS[""coda""] — VERBATIM, and in single_use. WARNING: coda appears in 26 repo documents and in relations.py meaning the SYLLABLE coda. Two unrelated senses already coexist in this codebase"
Codetta	Western pop	section	rear_framing	no	a small coda closing a section rather than the piece	"Grove (""Codetta"")"	coda + a SCOPE coordinate (section vs. piece). The diminutive is the scope, and scope is already representable — a section's span is its span.
Cold ending	Western pop	section	rear_framing	no	the song ends on a written final chord, no fade	standard studio usage	"SECTION_FUNCTIONS[""outro""], or nothing at all. Its content is the ABSENCE of a fade — a perform negation. Do not make a section out of a thing not happening."
Contrasting middle	Western pop	section	contrasting	no	descriptive name for the same object	Grove	bridge. This one is barely a term — it is the function's own gloss used as a name.
Counter-melody section	Western pop	section	contrasting	no	a span defined by a second melody over the first	"Grove (""descant""/countermelody)"	no repo row. layer unclear — this is a TEXTURE fact (two simultaneous lines), and the repo's nearest primitive is overlap_findings, which measures lines sharing bar-time. Not a section type.
Dark reprise	Western pop	section	contrasting	no	earlier material returns transformed in mood/mode	standard musical-theatre usage; UNCITED academically	"SECTION_FUNCTIONS[""reprise""] covers it — ""a declared return of earlier material, later and changed"". The ""dark"" half is an AFFECT coordinate the repo does not carry and should not fake."
Dedication	Western pop	section	front_framing	lexical:5 (titles)	inscription addressed to a patron before the poem	UNCITED as a music-form term (literary paratext)	"closest repo neighbour is the ""editorial apparatus"" refusal class (NOTE/SIDENOTE/MUSIC/GOTHIC). Layer unclear — paratext vs sung span."
Departure	Western pop	section	contrasting	"lexical:14 (Whitman; ""the departure of the sun"")"	the section that leaves the home material	Covach	ALREADY AN ALIAS. bridge.aliases ships departure-section, departure section, departure_section. The repo got here first.
Digression	Western pop	section	contrasting	"lexical:3 (Burns, ""a lang digression"")"	a span that steps aside from the argument	UNCITED as a music-form term (rhetorical)	bridge. Rhetoric, not form.
Double tag	Western pop	section	rear_framing	no	the tag taken twice	standard usage; UNCITED academically	tag + a repeat count. An integer, not a function.
Drop	Western pop	section	goal	lexical:120	the arrival a build points at	Peres; Adams; standard EDM usage	"SECTION_FUNCTIONS[""drop""] — VERBATIM. Repo has it (unwitnessed). Stop."
Drum break	Western pop	section	instrumental	no	a break filled by drums alone	Grove Jazz; standard usage	break + instrument. Historically load-bearing (the breakbeat), and that history is a SAMPLING fact, not a form fact.
Drum solo	Western pop	section	instrumental	no	an extended solo for drums	Grove Jazz	solo + instrument.
Envoi	Western pop	section	rear_framing	"heading:3 (ENVOI printed as a plain-text heading inside [VERSE 4] in Swinburne; ENVOI in Hilda Johnson; L'ENVOI in Joyce Kilmer) + title:1 (Kipling, ""L'Envoi"")"	the short closing stanza addressing the poem to its patron or subject; the formes-fixes send-off	standard formes-fixes / troubadour scholarship (ballade, chant royal)	NO REPO ROW, AND THIS IS THE BEST-ATTESTED TERM IN THE BATCH. Four files, three of them printing it as a structural heading the stager did not convert. A genuine candidate NAME row, function rear_fram
Epilogue	Western pop	section	rear_framing	"lexical:3 + title:1 (D'Urfey, ""The Epilogue to the Island Princes, Set by Mr. Clark, Sung..."")"	a closing address after the main body	Grove; standard literary usage	outro/coda. The D'Urfey hit is a whole SONG that is an epilogue, not a section of one — a scope collision worth stating.
Episode	Western pop	section	contrasting	lexical:2 (both are poem TITLES)	a contrasting span between returns of a refrain-like section — rondo/fugue sense	"Grove (""Episode"")"	bridge in pop; in rondo it is the structural complement of the returning section, which is a different claim. Cross-tradition candidate NAME, function contrasting.
False ending	Western pop	section	rear_framing	no (word-bounded 0)	a close the song comes back from	Everett; Summach	"SECTION_FUNCTIONS[""false_ending""] — VERBATIM, spellings false ending/false-ending already in _FUNCTION_SPELLINGS, and it is in single_use. Fully specified, entirely unwitnessed."
Fanfare	Western pop	section	front_framing	no	short brass/percussive opening flourish	"Grove (""fanfare"")"	intro. Position beats material: front_framing, not instrumental.
Feature	Western pop	section	instrumental	lexical:25 (a face's features)	a span written to showcase one player	Grove Jazz	solo NAME in big-band dialect.
Final reprise	Western pop	section	rear_framing	no	the last reprise, at the close	standard musical-theatre usage	reprise + instance index. Same shape as primary/secondary bridge: a numeral wearing a name.
Groove section	Western pop	section	instrumental	"lexical:1 (""sets the groove"", Barrett Browning)"	a span defined by its rhythmic feel	Tagg	"PERMANENTLY REFUSABLE as a measurement. fit.py refuses ""every groove question in MISSING.md C-4 ... permanently and by name"". A span named for its groove is a vamp the repo can type; the groove itself"
Guitar solo	Western pop	section	instrumental	no	a solo played on guitar	Everett	solo + an INSTRUMENT coordinate. The repo has no instrument coordinate and does not need one to type the section.
Head	Western pop	section	initiating and rear_framing	lexical:381 (the body part)	the composed theme of a jazz performance, stated before and after the improvisations	Grove Jazz (Kernfeld)	no repo row. A genuine candidate NAME, and it needs TWO function values or a position coordinate — see Q4.
Head-in	Western pop	section	initiating	no	the opening statement of the head	Grove Jazz	head + position. This is the argument for making head/head-in/head-out ONE name row with a position coordinate rather than three rows.
Head-out	Western pop	section	rear_framing	no	the closing restatement of the head	Grove Jazz	head + position. Same object as head-in, different end of the piece.
Hook section	Western pop	section	goal	no	a whole section that carries the hook	"Burns (""A Typology of Hooks""); Summach"	"THE REPO ALREADY HAS BOTH LAYERS, AND SAYS SO. SECTION_FUNCTIONS[""hook""]'s gloss: ""A hook is properly a FRAGMENT (MISSING.md D-2) and Hook below is the object for that; this entry covers the post-chor"
Instrumental bridge	Western pop	section	contrasting	no	a bridge with no sung text	Everett	"bridge + a DELIVERY coordinate. SECTION_FUNCTIONS[""interlude""]'s own gloss already treats instrumental/spoken as content, not function."
Instrumental chorus	Western pop	section	instrumental	no	the chorus's material played without words	Everett; Grove Jazz	"solo, same as above. In jazz ""chorus"" means one cycle of the form, not the returning section — a second chorus overload, adjacent to Q3."
Instrumental verse	Western pop	section	instrumental	no	the verse's material played without words	Everett; Covach	"solo (repo gloss: ""over section material"") — and the repo's gloss already says which section material. No new row."
Interlude	Western pop	section	contrasting	stager:1 (Welsh anterliwt prose note)	instrumental or spoken span between sung sections	Grove; Covach	"SECTION_FUNCTIONS[""interlude""] — VERBATIM, with aliases instrumental-break/instrumental break/instrumental_break already shipped. Note the function is arguably instrumental or connective, not contrast"
Interverse	Western pop	section	connective	no	a span between two verses	UNCITED	interlude / turnaround
Intro riff	Western pop	section	front_framing	no	"an intro whose material is an instrumental figure. ""Riff"" is a MATERIAL coordinate, not a second function"	standard studio usage	intro (+ material coordinate). Do not encode as a type.
Introduction	Western pop	section	front_framing	no (0 word-bounded)	opens the song; may state material returning later	Grove; Covach	"SECTION_FUNCTIONS[""intro""] — VERBATIM. Repo has it, gloss is right, stop."
Invocation	Western pop	section	front_framing	"lexical:8 (all poem TITLES: ""Invocation"", ""Invocation to Youth"")"	opening address to a muse/deity that licenses the song	standard poetics (Homeric/epic convention)	no repo row — a genuine candidate, and a cross-tradition one (it will recur in epic and devotional traditions)
Jam section	Western pop	section	instrumental	lexical:6 (all Latin jam / Sanskrit)	an open collectively-improvised span	"Grove Jazz (""jam session"")"	vamp (recurrence open) + an improvisation coordinate. The improvisation half is process, not section — it is a claim about how the notes were produced.
Key-change section	Western pop	section	contrasting	no (word-bounded 0)	a span set apart by being in a new key	"Grove (""modulation"")"	no repo row and no repo LAYER. There is no harmonic coordinate anywhere in grid.py, fit.py or structures.py — verified by grep. Filing this as a section would let a harmonic claim in through the secti
Launch	Western pop	section	medial	lexical:19	informal; direction is ambiguous (toward or at the chorus)	UNCITED	prechorus (probably); not reliably distinct from drop/arrival
Lift	Western pop	section	medial	lexical:138	prechorus, studio synonym	Everett; standard studio usage	prechorus
Link	Western pop	section	connective	lexical:37	short connective span between sections	UNCITED as a term of art	"SECTION_FUNCTIONS[""turnaround""] — ""carries the end of one section into the next"""
Link	Western pop	section	connective	"lexical:37 (""link'd in my hand"")"	a short connective span	Covach; Summach	turnaround. Wave A filed this the same way — the two halves of this survey agree independently, which is the only cross-check available.
Middle eight	Western pop	section	contrasting	no	a bridge whose bar count is 8	Everett; standard British usage	"ALREADY AN ALIAS. SECTION_FUNCTIONS[""bridge""].aliases ships middle-eight, middle eight, middle_eight, middle-8, middle 8, middle8. Six spellings, resolved. Stop."
Middle section	Western pop	section	contrasting	no	generic name for the contrasting middle	Grove	bridge. A position word doing a function word's job.
Middle sixteen	Western pop	section	contrasting	no	a bridge of 16 bars	standard usage; UNCITED academically	"bridge. NOT a new alias — the bar count is already a coordinate (Section.bars), and the repo's own bridge gloss says so: ""a middle-8 is a bridge whose bar count happens to be 8, which this model alrea"
Modulation passage	Western pop	section	connective	"lexical:1 (""all modulation of the deep-bowered dove"")"	a span whose job is to change key	"Grove (""Modulation"")"	"no repo row, no repo LAYER. Function is connective; the ""modulation"" half is harmonic and the repo has no harmonic coordinate at all."
Narrative verse	Western pop	section	initiating	attested:1 — and INSIDE THE REPO'S OWN VOCABULARY	verse carrying story rather than reflection	Grove	"verse — redundant. The repo's verse gloss opens ""carries the narrative"". And MARK_REFUSED[""SLOKA""] uses the phrase verbatim: ""In the Gitagovinda it is an interleaved narrative verse, and the source sa"
Obbligato section	Western pop	section	instrumental	no	an essential (not optional) countermelody part	"Grove (""Obbligato"")"	same object as Counter-melody section — a TEXTURE fact. Not a span. And note the term inverts in casual usage, which is a reason to be careful naming it at all.
Ostinato section	Western pop	section	instrumental	no	a span built on one obstinately repeated figure	"Grove (""Ostinato""); Tagg"	same object as vamp. Tagg treats vamp/ostinato/loop/shuttle as one family. A NAME row in art-music dialect; the repo row exists.
Outro	Western pop	section	rear_framing	no — 0 word-bounded, 0 as a mark	closes the song and does not recur	Everett; Summach	"SECTION_FUNCTIONS[""outro""] — VERBATIM, single_use, and it carries TWO of the three FormConvention.reprises pairs: (""outro"",""intro"") and (""outro"",""chorus""). The repo has more machinery for outro than f"
Outro-chorus	Western pop	section	goal	no	the chorus repeated to close the song, often to fade	Summach	"THE REPO ALREADY DECLARES THIS EXACT OBJECT, BY NAME AND WITH AN ARGUMENT. FormConvention.reprises contains the ordered pair (""outro"", ""chorus""), glossed in its own comment as ""the close that is the c"
Overture	Western pop	section	front_framing	lexical:4	instrumental preface stating later material	"Grove (""overture"")"	intro. NOTE: in opera/musical theatre an overture is a whole MOVEMENT, not a section of a song — that sense is out of this table's scope.
Percussion breakdown	Western pop	section	instrumental	no	the arrangement reduces to percussion	standard usage	"SECTION_FUNCTIONS[""breakdown""] + an instrumentation coordinate. Repo row exists."
Playout	Western pop	section	rear_framing	no	the music played out to the close, esp. broadcast	standard studio/broadcast usage; UNCITED academically	"same object as ride-out and as SECTION_FUNCTIONS[""outro""]. Broadcast dialect."
Post-chorus	Western pop	section	goal	no	returns immediately after the chorus and is not part of it	Summach; Peres; Adams	"SECTION_FUNCTIONS[""postchorus""] — VERBATIM. Repo has it (unwitnessed). Stop."
Postlude	Western pop	section	rear_framing	no	a closing instrumental span after the sung text	"Grove (""Postlude"")"	"SECTION_FUNCTIONS[""outro""] + instrumental delivery. The art-song/organ dialect name. Symmetrical with Wave A's prelude → intro."
Pre-drop	Western pop	section	medial	no	prechorus where the goal is a drop	standard EDM usage	"SECTION_FUNCTIONS[""build""] — ""raises tension toward a return"", and the repo already declares drop as ""the arrival a build points at"". The pre-drop/drop pair is written into the repo's two glosses."
Pre-hook	Western pop	section	medial	no	prechorus where the chorus is called the hook	standard R&B/hip-hop usage	prechorus. Only the NEIGHBOUR is renamed, not this section.
